recorded_at,scenario,iteration,create_ms,first_command_ms,ready_ms,sandbox_id
2026-04-23T21:00:43.756Z,"source: empty",1,498.9,170.9,669.8,sbx_BnDUycWSNHx94uL49cfZQYMtkjKV
2026-04-23T21:00:44.659Z,"source: empty",2,215.6,265.3,481.0,sbx_giFG2FFHdv7iVQFpl5W5Rf3myOWM
2026-04-23T21:00:45.530Z,"source: empty",3,234.0,229.4,463.5,sbx_1AbUM2DbejSLrll5LL3bJVygRJwZ
2026-04-23T21:00:46.655Z,"source: empty",4,252.7,427.3,680.0,sbx_h2lDcnS4Yt24v8rSmNwO5YxKSpIx
2026-04-23T21:00:47.475Z,"source: empty",5,189.3,208.6,397.8,sbx_R7z4MP7XIYKXQlZwIH9Hvq6TR2be
2026-04-23T21:00:48.294Z,"source: empty",6,229.4,160.0,389.4,sbx_cX6n9oDoSp41QwruKZsoNggDojRZ
2026-04-23T21:00:49.253Z,"source: empty",7,187.8,177.3,365.0,sbx_EvWWHxfhtfbqPTCUe0hMcIXNDXBx
2026-04-23T21:00:50.075Z,"source: empty",8,179.4,190.2,369.6,sbx_3lRWoEwspviON3PtNav62cmSH3aH
2026-04-23T21:00:50.913Z,"source: empty",9,200.6,185.4,386.0,sbx_UJAgKjqEvsQFGwPXFmNgUNqYZ7Uq
2026-04-23T21:00:51.807Z,"source: empty",10,246.0,220.4,466.4,sbx_eVa1bc3aFB41bTyLt70dhkV9fl0W
2026-04-23T21:00:52.942Z,"source: tarball",1,555.7,145.3,701.0,sbx_KO8iR3mqMeHwcL1z02LbsIUmj7Jf
2026-04-23T21:00:54.156Z,"source: tarball",2,560.8,209.3,770.1,sbx_MbVocbRKNWsl0xStUjbE5Azh4XuX
2026-04-23T21:00:55.429Z,"source: tarball",3,548.3,194.6,742.9,sbx_uAHUM7RmjYMuwh58OeWsRP2z4bdZ
2026-04-23T21:00:56.613Z,"source: tarball",4,586.7,170.2,756.9,sbx_qf8TW7PkmIhx1nELOKajrIAhVPLL
2026-04-23T21:00:57.740Z,"source: tarball",5,539.4,175.7,715.1,sbx_pYosnpSz3ieLiCaj8ipgBFSdHxUz
2026-04-23T21:00:58.845Z,"source: tarball",6,528.7,154.4,683.1,sbx_EqNOlg9kNswC2fXeCwl5SrrCEVAa
2026-04-23T21:00:59.945Z,"source: tarball",7,495.3,165.6,660.8,sbx_8b9goQnxE8zTAEOM22YILZ3uwkXI
2026-04-23T21:01:01.208Z,"source: tarball",8,696.2,154.0,850.2,sbx_dEwse4xHupMM5mNECwQxbXO389nU
2026-04-23T21:01:02.898Z,"source: tarball",9,499.0,210.4,709.4,sbx_fD4bDtpr4uiLNjFd69F3tmlCDCnO
2026-04-23T21:01:04.211Z,"source: tarball",10,542.0,337.7,879.7,sbx_3XjmrQP9yOzfE7EvQzsyv2jqI4m3
2026-04-23T21:11:07.449Z,"source: snapshot",1,600412.5,2395.5,602808.1,sbx_owDt3zwujVVF2eOmVe0aZHnjZIiO
2026-04-23T21:11:10.417Z,"source: snapshot",2,181.8,2169.7,2351.4,sbx_bKuHhTwQWp42zqBtkSbU63Y8AJe5
2026-04-23T21:11:12.964Z,"source: snapshot",3,215.0,1904.4,2119.4,sbx_bSbLcdUW15WUe4YOAh69ybmmvFpU
2026-04-23T21:11:14.001Z,"source: snapshot",4,255.5,353.4,608.9,sbx_zPIfF9sWp3znfJBVUnvSFeUaUVMt
2026-04-23T21:11:16.806Z,"source: snapshot",5,200.8,2195.9,2396.7,sbx_WFazOORVKjrJEM6Zo9OcXJu4T4dy
2026-04-23T21:11:17.973Z,"source: snapshot",6,208.1,543.9,752.0,sbx_2oN3Elm7gOMlvvDUmd6q0TIcYddh
2026-04-23T21:11:20.455Z,"source: snapshot",7,183.2,1883.3,2066.5,sbx_Q7TqTVvEYCKNsCVCrjwLtK9kJZt3
2026-04-23T21:11:22.722Z,"source: snapshot",8,180.8,1655.0,1835.8,sbx_zjWlgjEVDpqGJ2CX0EuOeGXW7eyw
2026-04-23T21:11:25.201Z,"source: snapshot",9,187.8,1856.8,2044.6,sbx_YwuHswcSEiLiV6eIPTOJ8T4hAjNl
2026-04-23T21:11:27.646Z,"source: snapshot",10,367.5,1655.1,2022.6,sbx_ngDjNJTBrlFiTb5c93UwmaPHdGpk
